home team,away team,time,home team logo,away team logo,home team score,away team score
Morupule,Masitoaka, ,pC7khE86-4QHDKdds.png,WdDnfnBN-2XFN34wM.png,-,-
Botafogo PB,Potiguar de Mossoró, ,GIgM8ajT-0peneAym.png,QPGxXniC-6qNKRDCk.png,2,1
AE Altos,ASA, ,OxSDDxUH-2sqUKrWN.png,tY7I9uSq-E1EyOHIF.png,2,1
Cruzeiro U20,Madureira U20, ,zeXFBzXH-re7YM05n.png,MZOxs25k-CM3ZnPc0.png,1,0
Flamengo RJ U20,Nautico U20, ,8viG5v6k-COUy4N0T.png,U5mKhPQq-4QLxsLE0.png,1,0
Capital Distrito Federal U20,America MG U20, ,b7X7i2A6-Cdpb4toN.png,UswOBJkC-4QLxsLE0.png,0,2
Novorizontino U20,Tiradentes-PI U20, ,4GmijJR0-Kjg6GrcS.png,bDpH92gT-ILHdAUZ2.png,3,0
Atletico GO U20,Corinthians U20, ,tEKfF4hT-EsONvne7.png,zsznhmle-8Q62aX7N.png,1,4
Ituano U20,Criciuma U20, ,t2j1KBWH-WhmQ8a6A.png,fJfVPG86-tl8K2kEn.png,3,0
Coimbra U20,Gremio U20, ,UaZoHeme-KQ9JzUXc.png,dYQzw1Pq-hbGbDJfI.png,2,4
Athletico-PR U20,Ponte Preta U20, ,Am6rCEPq-OIECkXSi.png,Q1bk9d7k-EsONvne7.png,2,1
Prey Veng,Phnom Penh Crown, ,bHr9jJQq-2w113Fgb.png,zoYX1L76-CnwIgY1c.png,0,3
Boeung Ket,Dangkor, ,zoFgGnle-QTV00u0R.png,r1M9wPTH-M31xcW3b.png,4,1
Colombe,Aigle Royal, ,jgX4mjUH-CrTzmp8m.png,K208y1A6-4EDbGg59.png,-,-
Cotonsport,APEJES Academy, ,h2QPfk6k-IcoqV5ye.png,ziQpdiBN-veb0TNn6.png,-,-
Fauve Azur Elite,Avion Academy, ,2cgbqO7k-zX43sNzb.png,QZdcuelC-0vrp0PVT.png,-,-
Fortuna Mfou,Canon Yaounde, ,8bCSaWAN-lGILyKhD.png,zJpgpXjC-K0hhvgY6.png,-,-
Gazelle,Bamenda, ,OIhrBY9N-pzAHrTn5.png,QRACta8k-WbpYXCFI.png,-,-
Les Astres,Bamboutos FC, ,CjpRq1WH-OhsybBXB.png,0CjJBoT0-OUxxBLtn.png,-,-
Stade Renard,UMS de Loum, ,WMmsMvBN-CrTzmp8m.png,j5cGnrle-nP1nSKdT.png,-,-
Union Douala,Dynamo Douala, ,2RiYv2ne-QNEfHZk3.png,67Z22IWH-zX43sNzb.png,-,-
Yong Sports Academy,Fovu Baham, ,8zXxGb7k-4EDbGg59.png,KpqWic5k-8Sy5r3VC.png,-,-
San Carlos,Liberia, ,juvJFEQq-6XjLWQsI.png,CUGEr5BN-Asw8NYvF.png,3,2
Saprissa,Puntarenas FC, ,fHW8xJWH-tnwDCzLD.png,WtexReUH-z1YXka2H.png,3,0
Herediano,Zeledon, ,46TCGSBN-O2l6wJsK.png,nwwn5lSq-YB0DoGZt.png,1,0
Jong Holland,SUBT, ,pK9D17Pq-IceI7FZg.png,O0wHvagT-CYNfPTul.png,2,0
Willemstad,Victory Boys, ,63qAp896-YsPjQ9Qs.png,KpCQlXoe-CYNfPTul.png,0,1
Jong Colombia,Centro Dominguito, ,S6sYl9T0-MqV6zfF0.png,vs5ZvHjC-G6nUF13m.png,1,3
Paphos,Zakakiou, ,8ndjah6k-UH6ir0w2.png,z7WRhL5k-fevv2dQD.png,4,0
Apollon,Aris, ,b9OA1NmC-x4Xh4Pu0.png,692PjeDN-GxoBo0zo.png,0,1
Omonia 29th May,Ol. Nicosia, ,xCwIHVjT-SfRWUwLb.png,WhJNg4Sq-l2Xtf5Mh.png,1,2
Municipal Limeno,Santa Tecla, ,trYUXj86-6eZE5Nlm.png,UXPiFJ6k-UVZMFjiK.png,1,0
FAS,Metapan, ,8GOI43Qq-IJKf4CSg.png,OlGAi986-IJKf4CSg.png,1,1
Aguila,Fuerte San Francisco, ,E1sZq586-SnR4yA7q.png,z7qkbr96-ddMNjLqn.png,0,0
Platense Municipal,Jocoro, ,0SEjBOle-6Nc83xmK.png,GYSUtyRq-xpicnvrs.png,2,0
Luis Angel Firpo,Dragon, ,xAZaaaQq-xICJ1EZ7.png,xUDIyrle-jcp3KKtd.png,1,0
QPR,Watford, ,hdnBLqiC-z9YsXKZd.png,pYQ39lBN-QHkJrpz6.png,1,2
Bastiais W,Dijon W, ,nT1xgKPq-Yk7nkaIA.png,2Ruo15hT-KOIxVWQo.png,0,10
Toulouse W,St Etienne W, ,6FXSApA6-EgrECzdn.png,fwBKjn96-dGdlku5l.png,1,3
Brest W,Beauvais W, ,nDLpGU96-fg7CXJrI.png,8UG7v2me-Y1eENhtp.png,6,0
CPB Brequigny W,PSG W, ,CnTxVygT-0vI66hPM.png,d6rQbbU0-GQt64pVA.png,0,4
Fleury 91 W,Guingamp W, ,lWrdv05k-00axP92O.png,bkfR9LmC-n9qtmBjJ.png,2,0
Genas Azieu W,Marseille W, ,0KT9wQ76-82x2Mu8Q.png,rulBDOCN-4AJ4CsU2.png,0,3
Le Mans W,Lille W, ,zgpVmMR0-Ae0JwuzN.png,fgQVn9Rq-bT0Eg7Fk.png,2,3
Montauban W,Clermont W, ,CU5NbiRq-8KeYdZPc.png,EgOWFQ96-UuovkV4s.png,2,0
Nice W,Strasbourg W, ,O8ijxJU0-UVyZhsf0.png,pIEoPUS0-4A1nMesF.png,0,1
Orvault W,Le Havre W, ,ngmib4AN-6JsUtTYo.png,hx1l6cDN-W0g3UmAF.png,0,3
Paris FC W,Bordeaux W, ,z1TP1Lme-ppgFbvud.png,YDJV1jQq-AkoReUjd.png,3,0
Roubaix W,Reims W, ,bFTnHR86-rgbflCcU.png,ETfs2SWH-naUF7m9c.png,0,5
Saint-Maur W,Lens W, ,xtRwGRA6-xQtLpSbN.png,beHylHhT-rTEFAmVL.png,0,4
Stade Auxerrois W,Le Puy W, ,htwOPi8k-nTFzaHZL.png,C4Ql0mjC-WvOhHvVj.png,0,1
Lyon W,Montpellier W, ,nZMq2VjC-6F3rP4w9.png,WbmcmDlC-YDsfVBU1.png,4,0
Samger,Armed Forces, ,fZenN8le-UJLaZhBP.png,EZIPkBjC-MTEwiRTq.png,1,2
Wallidan,Greater Tomorrow, ,EcHkm3CN-MTEwiRTq.png,Sjwi5egT-naE6XnDa.png,1,3
Panetolikos,Aris, ,tITXQckC-n3f8T6c2.png,WCmA1PA6-0E6BYcd0.png,0,4
Kifisia,Olympiacos Piraeus, ,bmHORblC-vcgWQFBk.png,Ik1Usole-lzmp9FUJ.png,2,3
Asteras Tripolis,Volos, ,YXe9mTT0-SKrEYwI8.png,fTZ6y0BN-nsVKnzpo.png,1,0
AEK Athens FC,Panathinaikos, ,ph8YRKne-Aq4Rjd2q.png,jTnDg1CN-GM4Cu0wi.png,2,2
PAOK,Giannina, ,StctWES0-pvWT1yik.png,pOiI0fU0-Ct0X2apU.png,4,0
Ilioupoli,Tilikratis L., ,I5ZPvXiT-G8e3RIPQ.png,pveTOWA6-hxNHfEIm.png,1,0
Karditsa,Makedonikos, ,G4sc6sUH-ENPn0NrK.png,KQDwlQQq-4CdOVsMu.png,0,1
Panachaiki,Giouchtas, ,GdTgk0jC-MqaurgnI.png,rsPih9T0-65z19vFf.png,3,1
Mohun Bagan,Hyderabad, ,KpBzuWT0-6mJliLLj.png,2g1GUViT-6auKd00m.png,2,1
East Bengal,Sreenidi Deccan, ,fDRtO2S0-UszV04Qg.png,r98V3q8k-2s9DDn4a.png,2,1
Maccabi Bnei Raina,Maccabi Tel Aviv, ,vqIFkvB6-8r2VNn84.png,vifKdrkC-EgfVDm2G.png,2,2
Maccabi Haifa,Maccabi Petah Tikva, ,h4m4NhUH-Q5Dpg1h8.png,2Pusm9S0-U1xTVPXm.png,5,0
Cremonese,Cosenza, ,bwCjhwB6-t4GQxEM5.png,jHLbr0AN-j5ryYBSC.png,1,0
Parma,Ascoli, ,WI9nVggT-fydXzLY6.png,GtO8URA6-CEqXYiD6.png,1,1
Venezia,Sampdoria, ,4lQfQQmC-tGrll1pT.png,WQp3CvUH-8IE3vP6C.png,5,3
Alessandria,Virtus Verona, ,p0sMs0lC-boEYzhiI.png,dvL2jlVH-SQwnEDut.png,0,1
L.R. Vicenza,Giana Erminio, ,6Lt4CoSq-005OhYls.png,bXy6R096-MJw8SsU0.png,3,1
Legnago Salus,Padova, ,dl7QlRme-f5kxv71d.png,C0Gf1Pne-0lwy4Ij1.png,0,0
Mantova,Arzignano, ,GSnwGvWH-4vkZ9lY0.png,zNCymWmC-MiZyhUzt.png,1,1
Pergolettese,Lumezzane, ,MsPodHPq-IF6oPsUG.png,bZZj3WBN-x4BBSEWp.png,0,1
Entella,Pineto, ,vHB1Id96-boEYzhiI.png,EJIqOF76-Uq53M2ue.png,0,0
Recanatese,Juventus U23, ,Oj2ghC6k-0USqmdlF.png,IgZqxJ6k-EXzXDYgS.png,1,1
Olbia,Vis Pesaro, ,YDsCLrQq-ImfBTABB.png,nHSB3fCN-2y40txw3.png,0,1
Rimini,Torres, ,tIcDZERq-zBy2JPLp.png,S04EiG8k-ImfBTABB.png,3,1
Gubbio,Ancona, ,by51a8le-0lwy4Ij1.png,r1xUXURq-hEOjasbQ.png,0,0
Carrarese,Arezzo, ,lf1fmHoe-t4GQxEM5.png,Amu3S1ne-zBTDGGHj.png,2,3
Lucchese,Sestri Levante, ,zJqUfe7k-Ec4K0Vg8.png,IL45ktlC-nq6Wbo1Q.png,1,3
Spal,Cesena, ,zTKy8elC-t4GQxEM5.png,t6U8jIT0-YB20ndi2.png,0,0
Casertana,ACR Messina, ,AyrNNTVH-pGFvxw5a.png,QuIXvaS0-vce7Ujd5.png,0,2
Audace Cerignola,Sorrento, ,I7vyAriC-0zWZxX4i.png,EPleEMmC-lUNmiqki.png,1,2
Juventus U19,Inter U19, ,URJxprjT-GtNb9h2q.png,65tKYAR0-hMUxMBUq.png,1,0
Lazio U19,Cagliari U19, ,rw49CE96-zZPo3Vi8.png,zciBs0kC-SIDDuAGg.png,1,3
AC Milan U19,Torino U19, ,WI6sxliT-EZRVlC29.png,zgHYyEoe-OhRNUUhl.png,1,1
Atalanta U19,Fiorentina U19, ,GQcfzU76-tWOrl80O.png,trRtVF86-6XKdgOM6.png,1,2
Inter W,Sassuolo W, ,KOtr3xgT-QHDzsD69.png,nuQI4hA6-WzbDBCSD.png,0,1
Como W,Sampdoria W, ,YHgn4YlC-lImVzQRL.png,pG1y7D86-2e45HZLG.png,0,1
Bidco United,Police FC, ,lKdte37k-traGRhJJ.png,OnQBab7k-MkvgNLFC.png,0,1
Muhoroni Youth,Leopards, ,82jl9BiT-xlciObbf.png,EV4ZHkT0-d8rCnrpj.png,0,1
Muranga,Talanta FC, ,zNVRZtme-6cdohWtf.png,dY3A23AN-SQ511bXP.png,0,1
Nairobi City,Posta Rangers, ,Yo5wdMR0-GQf5CmvK.png,tO1vDV5k-bBiFBAKT.png,1,0
Nzoia Sugar,Shabana, ,buqU6EjC-pdVAPlSb.png,hKPYTXWH-4SjJCeGb.png,2,5
Tusker,Sofapaka, ,l0Uen786-0ASINSdB.png,EccFaXS0-jeFanMPj.png,3,1
Ulinzi Stars,KCB, ,tE6CwhWH-d8rCnrpj.png,EBrybmkC-lptmHgZf.png,0,0
Defence Force,Machokha, ,zPosDome-U3Hcth5Q.png,ljXTHTT0-GEh10UgP.png,2,2
CCX,Lifofane, ,61UmeDQq-r5tmsiVJ.png,zJyea8iT-htT4afEI.png,0,1
LCS,ACE Maseru, ,QPOBozU0-WC3PyCDs.png,xbMGRQT0-xUGxHQGM.png,2,0
Likila,Manonyane, ,K4sdMKT0-QkBUyRma.png,UiFhE7kC-r5tmsiVJ.png,0,0
Linare,LMPS, ,ABiteqiT-U3Hcth5Q.png,WjwAZtlC-U3Hcth5Q.png,0,2
Lioli,Lijabatho, ,EFPuaM8k-ANCmy1WE.png,MR9NE296-htT4afEI.png,1,2
Liphakoe,Bantu, ,WrXCwgT0-GWX1nXzN.png,UF6xxkS0-U3Hcth5Q.png,1,3
Matlama,Naughty Boys, ,zXHEAw96-U3Hcth5Q.png,0C3mLK7k-IBIsgNDC.png,6,0
AS Police,USFAS Bamako, ,MBgoXK96-OlLeDkzH.png,f3L1rlA6-QcZKFp8a.png,0,0
Bakaridjan,Koro, ,KdoaoKmC-raL6XQE3.png,MgCwlDle-0hq7YBe3.png,3,0
Black Stars,Bougouba, ,4hvJwWVH-zPhhIbBM.png,b90if086-zR5jQfj5.png,1,3
Foot Elite,Binga, ,4Uu6VgBN-AaheDBA2.png,8lwN0I76-08PondyB.png,1,0
Korofina,Onze Createurs, ,WQIt42WH-zmTDCRPG.png,fyizbrSq-4lYOE4N5.png,1,1
Real Bamako,Stade Malien, ,v7YmtvA6-zPhhIbBM.png,8AI1tbgT-ddY7RGdg.png,0,1
US Bougouni,USC Kita, ,pn8hldAN-Ai2ysddt.png,WGSz0Z9N-vgLkMC1k.png,0,0
Balzan,Zurrieq, ,8Gs8m5A6-8SwKCrBK.png,GrQpLXoe-UFXKVMR9.png,2,1
Nadur,Sirens, ,AB5HxGle-hbK7bybG.png,6ihoJniT-vXHIUObM.png,1,2
Hibernians,Qala Saints, ,KAYoXgme-WrjrBuU2.png,lW7JjoSq-zo0dNtid.png,2,0
Luqa,Swieqi, ,EsDx5K5k-zVZ6Di06.png,jqbY8HjC-df1hOMyj.png,1,2
Xewkija,Gudja, ,Qq1PYrWH-zo0dNtid.png,E9NMySjT-fN02vDNP.png,0,3
Valletta,Ghajnsielem, ,8OjGl56k-WrjrBuU2.png,4dBO0eT0-8nQv3C5f.png,7,1
Sliema,Marsaskala, ,GGRaGXR0-YFbDUeTh.png,vDt8QM86-O0mnUy35.png,3,0
Cruz Azul,Pachuca, ,UNKNumiC-nqhLBCKD.png,UcvERb5k-zFZbB1JF.png,0,1
Guadalajara Chivas,Santos Laguna, ,4fFLAKlC-vccK8alq.png,6ycTP2BN-A7ORm2QC.png,1,1
Club Tijuana,Club America, ,viMegK5k-zVgW5cY1.png,f3CzIwSq-2wVZ6cph.png,0,2
Monterrey,Puebla, ,rojPBGA6-4thMUPbO.png,dlj3qbQq-W6vdbCVa.png,2,0
U.N.A.M.- Pumas,Juarez, ,A9NpRSR0-rL2rkgzd.png,WdtRY4iT-dM3pORxM.png,1,0
Atlante,Celaya, ,l0XsMdDN-dAJb3Ws0.png,IuRhX5hT-2JnogWvq.png,2,1
Pachuca W,Monterrey W, ,8YnG2eQq-K2yCsQaB.png,tAF8xylC-YFlufF9q.png,2,2
