home team,away team,time,home team logo,away team logo,home team score,away team score
Dynamic Togolais,Kakadl, ,6o39FylC-OnWab9yA.png,rqBpXW5k-dhIF562o.png,-,-
Dynamic Togolais,Semassi, ,6o39FylC-OnWab9yA.png,SvUJXTjC-p8ufpTR3.png,0,1
Entente II,Tambo, ,lpE3lAWH-bLUXtNPp.png,fXJbCyUH-MDGNnyCJ.png,-,-
Espoir,Gbikinti Bassar, ,UJZ9BXUH-nHkIJjVl.png,xxXEOLVH-tMZBuYi8.png,2,0
Espoir,Gbohloe-Su, ,UJZ9BXUH-nHkIJjVl.png,A1o2DjjT-jkC9TRbD.png,-,-
Gomido,Barracuda, ,YT4nyviT-2wV3cTjG.png,nq6KtL7k-8WX3jCdR.png,-,-
Gomido,Kara, ,YT4nyviT-2wV3cTjG.png,dGBtgtme-2wV3cTjG.png,0,1
OTR,ASC Kara, ,W2o5UkWH-pnYI4s4g.png,29i8MahT-pC92HWTo.png,1,2
OTR,Kara, ,W2o5UkWH-pnYI4s4g.png,dGBtgtme-2wV3cTjG.png,-,-
Unisport,Gbikinti Bassar, ,EgC5otVH-l00g5zMg.png,xxXEOLVH-tMZBuYi8.png,-,-
Unisport,Tambo, ,EgC5otVH-l00g5zMg.png,fXJbCyUH-MDGNnyCJ.png,-,-
Prison Service,Morvant Caledonia Utd, ,UFg0P75k-YD7fCsYp.png,21Y1EpBN-zFs1klv8.png,2,1
Istanbulspor AS,Konyaspor, ,jwWv2VA6-0GXEkkAD.png,Cp0bcARq-j1Y9DEbN.png,0,0
Antalyaspor,Trabzonspor, ,S6yZui5k-ptkIYGIF.png,2sVavKoe-MobtE80i.png,1,1
Samsunspor,Sivasspor, ,65PgANkC-StKLPBm2.png,jiLzjC6k-0vUmEzqC.png,2,0
Gaziantep,Fenerbahce, ,UH4szVne-nwcq2Drl.png,drRgiLlC-dENdyFfa.png,0,1
Manisa FK,Kocaelispor, ,rD05b4AN-GC3BM98o.png,MmgQ3IA6-pfQVcl7E.png,2,1
Corum,Tuzlaspor, ,ShtFJk96-nsVkkOor.png,06TvfK5k-GxHegpzI.png,2,1
Umraniyespor,Genclerbirligi, ,jFLFaPVH-f5ezBc45.png,MyPx2g86-G6WxyD8F.png,1,1
1207 Antalyaspor W,Amed SK W, ,reTvol7k-I9TDla93.png,I3YNTCT0-OKBUsmkd.png,2,0
Hakkarigucu Spor W,Adana Idmanyurduspor W, ,CG8N6NUH-d0SHmJO9.png,86SImT5k-d0SHmJO9.png,4,0
Karadeniz Eregli W,Trabzonspor W, ,MVJArtT0-vJU9kufc.png,rov2FG6k-dllPU6aj.png,1,0
Fatih Vatan Spor W,Beylerbeyi W, ,z7ap4rWH-I9TDla93.png,YZWuZ6Rq-AwXw4jfF.png,0,4
Gaziantep W,Fenerbahce W, ,Wh9rH4VH-SOOQSaEo.png,jgOmfnAN-WvpYzLN6.png,1,4
ALG Spor W,Besiktas W, ,YZ6wjYUH-Eg0oeKGL.png,n5hWFL76-tprtUH6d.png,2,1
Fomget GSK W,Atasehir W, ,ObxsMpSq-I9TDla93.png,CnjCnHBN-E1tVKwU8.png,5,0
Karagumruk W,Galatasaray W, ,drei6ujC-82rxzuwD.png,QqnYWH96-Ayf8HTfc.png,0,0
Pontypridd W,Aberystwyth W, ,WhklchjC-OKR7MREf.png,Ii2vNJVH-ja5UzupC.png,1,1
Swansea W,Cardiff Met. W, ,UDY3E1jC-YuxztoYG.png,W4N1vJkC-zyXVh7bj.png,3,0
Wrexham W,Barry W, ,hjEcBZlC-xzEb4a95.png,63DHCn8k-YH7Mx1Fa.png,1,0
TNS W,Cardiff City W, ,MVut97oe-bVDEXKLr.png,CYiaQxgT-tGfOwyED.png,0,6
Uruguay U23,Paraguay U23, ,2cQbUllC-jwUn6tkn.png,Kr82yGPq-dr1Rx2yJ.png,4,1
Guatemala,Iceland, ,zckCdOWH-MPdGWDGc.png,vDLgH0gT-vokh4vbj.png,0,1
Saudi Arabia U23,Qatar U23, ,xbko09S0-ddddz9FK.png,8zBWXyWH-xdsSUnwr.png,0,0
Dep. Tachira (Ven),Bucaramanga (Col), ,GIcuo5UH-OxmaT1W4.png,pEjyC27k-CMZ5a0zC.png,0,1
Gimnasia y Tiro (Arg),Boca Juniors (Arg), ,YH2p9uBN-Shd63JnL.png,GQF9p3A6-tnwDCzLD.png,0,1
Real Espana (Hon),Coban Imperial (Gtm), ,AkaXuWjT-pCk2vaSD.png,Uq6ENLUH-v1e8VYOd.png,3,1
LASK (Aut),FCSB (Rou), ,hpJBhRlC-WvAkDUTd.png,tSilVMne-SCh1iPaa.png,1,3
Dukla Prague B (Cze),Kolin (Cze), ,EiFIIM76-pxcwXqbH.png,nRlFCK8k-WKyLv0gJ.png,2,3
Karvina U19 (Cze),Ruzomberok U19 (Svk), ,8bzblalC-SfPuzPXG.png, ,2,2
Paderborn (Ger),Preussen Munster (Ger), ,6ufhxjSq-Qmnf8wEL.png,CrTJM3Sq-l0tw4N82.png,6,1
Varazdin (Cro),Radnicki Beograd (Srb), ,pAIm8cne-SpOadZIA.png,2DqeAYVH-QgZeRDaH.png,2,2
U Craiova 1948 (Rou),Poli Iasi (Rou), ,lnIG6oCN-AB4EluEP.png,lOyO2b5k-MewIvT6n.png,2,4
Berlin Hilalspor (Ger),TB Berlin (Ger), ,Au8yRZUH-d8pJPP4c.png,vNwj3n6k-4pvrieMi.png,3,1
Hansa Rostock (Ger),Lubeck (Ger), ,hznew7Qq-McvX4bye.png,00NnUw96-r5trb9zO.png,1,1
Harksheide (Ger),Eimsbutteler (Ger), ,WSgpvWPq-bBVugJxh.png,ljahS45k-vos6XnL6.png,-,-
Luckenwalde (Ger),Greifswald (Ger), ,xtEa1h8k-QsBZvyRg.png,dY8GUKPq-EVkyqJ8E.png,1,2
Prizreni (Kos),Liria (Kos), ,nNpEEnS0-0zlaJwBG.png,xtsu0MjT-pbSUCRoq.png,1,0
Sandhausen (Ger),Erfurt (Ger), ,UoCAVqlC-WxLb2GDg.png,zeDD7Qne-ncNaLxYl.png,2,0
JIPPO (Fin),Vaajakoski (Fin), ,ve86t8gT-ImdO7J3k.png,d6NKnxVH-6PYuWvxH.png,7,2
Staaken (Ger),Berliner AK 07 (Ger), ,zqatiRS0-zaVoHtPl.png,rDhTA5oe-4vL7JG21.png,-,-
Delbrucker (Ger),Wiedenbruck (Ger), ,QZUlIwSq-xt7raHqE.png,QTkB1egT-t2JBIzI7.png,-,-
Dusseldorf II (Ger),Uerdingen (Ger), ,zRJtV5R0-4GnujK2a.png,ADD0HlCN-W6bUbbPE.png,2,0
Eintracht Frankfurt (Ger),Sandhausen (Ger), ,2aegVtQq-86lnAaq9.png,UoCAVqlC-WxLb2GDg.png,-,-
KF Llapi (Kos),Nasaf Qarshi (Uzb), ,Gf7WbBhT-0nUxLTUs.png,fLkfY76k-MwERIUFm.png,1,2
Legia (Pol),Olimpia Elblag (Pol), ,v38kDURq-rgYuXGKm.png,6kYDBjXH-QPVxgHgK.png,6,0
Rotenburger (Ger),Drochtersen/Assel (Ger), ,GvTWcFjT-I76ajEUh.png,fPdBOvle-ERBZEgCO.png,1,5
SG Dynamo Dresden (Ger),FK Pardubice (Cze), ,MZhxRG76-YP5eX03i.png,b7y5m96k-zTKvvVaA.png,3,0
Sparta Lichtenberg (Ger),Altglienicke (Ger), ,8nEuq0S0-dWjIhFMs.png,YwWlFQ76-EVkyqJ8E.png,2,4
Vreden (Ger),Ahlen (Ger), ,I53pfG7k-E377TFBo.png,ALTLSUWH-WdVRHDCa.png,-,-
Estudiantes Merida (Ven),Portuguesa (Ven), ,A7CKGOjT-Kt2RJAvf.png,KQzOCume-EHlXhTq7.png,3,2
Gorica (Cro),Istra 1961 (Cro), ,KEUjOG8k-fu4DkIs2.png,Gr7WcgSq-S0dWTsz4.png,0,2
Sprockhovel (Ger),Mulheimer FC 97 (Ger), ,I3oLTRQq-jVqmYGCn.png,vPD1yYjT-Awm1SBP4.png,4,0
Babelsberg (Ger),Viktoria Berlin (Ger), ,lrTlULmC-86OeMIIr.png,nuyVS3Rq-x8iXqag8.png,0,0
Dortmund II (Ger),Fortuna Koln (Ger), ,UoXC1PWH-zcb1Gz6r.png,dAR8o26k-4vL7JG21.png,0,0
Finn Harps (Irl),Derry City (Nir), ,8jtkrxne-IiGT6zfM.png,hGznfOlC-fJCgF1vl.png,2,2
Hansa Rostock II (Ger),Neustrelitz (Ger), ,h21e2G8k-hMlurwOK.png,4r9LzE8k-Y3joQzw0.png,2,2
Sabah Baku (Aze),Vorskla Poltava (Ukr), ,Ac7zDx96-lOnhRAPD.png,Io75AMme-rgYuXGKm.png,0,3
SV Spexard (Ger),Beckum (Ger), ,vBtFbciT-SvPLj4M8.png,AcXbZABN-CjDkmZLe.png,0,1
Univ. Craiova (Rou),Slovacko (Cze), ,nyNLzxUH-CKjtpaMt.png,0zzzX9Sq-OxJDt8W9.png,1,1
Hesperange (Lux),Virton (Bel), ,xUHW54oe-Y72Z4YSk.png,8jb5xd86-ILReCEDO.png,3,2
SG Wattenscheid (Ger),Kleve (Ger), ,Aop7P2le-E7oqZdct.png,xAhkKE96-vRjblA6b.png,1,1
Raufoss (Nor),Kolbu (Nor), ,A9TgaUT0-CnVD4YXr.png,zPMbmdme-fixjyXg8.png,7,2
Basel (Sui),Greuther Furth (Ger), ,hvqyV1hT-fPZDBkJI.png,zmJdMLle-KfqGWN71.png,2,2
Zamora (Ven),Hermanos Colmenarez (Ven), ,8bOaWJ76-04q9CXTr.png,roxsXwjT-dxGD9UPp.png,0,0
Sporting Cristal (Per),U. Catolica (Chi), ,xMxIWf86-6PG8meHs.png,WUZXi2le-dAJb3Ws0.png,4,0
Bayer Leverkusen W (Ger),Den Haag W (Ned), ,lOXJ91kC-Q5uWoBwg.png,fmqMQQPq-nqGrCk74.png,-,-
Kansanshi,NAPSA Stars, ,2VIPkaU0-htT4afEI.png,fg3ZPiWH-pQGgmiKD.png,1,0
Zanaco,Trident, ,ve1nHFiT-hYvertH0.png,AkZoPYkC-CG0twT0B.png,2,1
